Smiles,Tg/℃
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC(O[*])=CC=C5C4=O)=O)C=C3)C=C2)C6=CC=CC([*])=C6C1=O,278
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC([*])=CC=C5C4=O)=O)C=C3)C=C2)C6=CC=C([*])C=C6C1=O,306
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=C(O[*])C=CC=C5C4=O)=O)C=C3)C=C2)C6=CC=CC([*])=C6C1=O,295
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=C([*])C=CC=C5C4=O)=O)C=C3)C=C2)C6=CC=CC([*])=C6C1=O,296
O=C(N1C2=CC=C(OC3=CC=C(N(C4=O)C(C5=C4C=CC(C([*])=O)=C5)=O)C=C3)C=C2)C6=CC=CC([*])=C6C1=O,343
O=C(N1C2=CC=C(OC3=CC=C(N(C4=O)C(C5=C4C=CC(C([*])=O)=C5)=O)C=C3)C=C2)C6=CC=C([*])C=C6C1=O,306
O=C(N1C2=CC=C(OC3=CC=C(C(C)(C4=CC=C(OC5=CC=C(N6C(C7=CC=CC([*])=C7C6=O)=O)C=C5)C=C4)C)C=C3)C=C2)C8=CC=CC([*])=C8C1=O,260
O=C(N1C2=CC=C(OC3=CC=C(C(C)(C4=CC=C(OC5=CC=C(N6C(C7=CC([*])=CC=C7C6=O)=O)C=C5)C=C4)C)C=C3)C=C2)C8=CC=C([*])C=C8C1=O,245
O=C(N1C2=CC=C(OC3=CC(C)=C(OC4=CC=C(N5C(C6=CC=C(O[*])C=C6C5=O)=O)C=C4)C(C)=C3C)C=C2)C7=CC([*])=CC=C7C1=O,261
O=C(N1C2=CC=C(OC3=C(C(C)(C)C)C=C(OC4=CC=C(N5C(C6=CC=C(O[*])C=C6C5=O)=O)C=C4)C(C(C)(C)C)=C3)C=C2)C7=CC([*])=CC=C7C1=O,242
O=C(N1C2=CC=C(N3C(C4=CC=CC(S[*])=C4C3=O)=O)C=C2)C5=C([*])C=CC=C5C1=O,330
O=C(N1C2=CC=C(N3C(C4=CC=C(S[*])C=C4C3=O)=O)C=C2)C5=CC([*])=CC=C5C1=O,319
O=C(N1C2=CC=C(N3C(C4=CC=C(S[*])C=C4C3=O)=O)C=C2)C5=C([*])C=CC=C5C1=O,320
O=C(N1C2=CC=C(N3C(C4=CC=C(O[*])C=C4C3=O)=O)C=C2)C5=CC([*])=CC=C5C1=O,326
O=C(N1C2=CC=C(N3C(C4=CC=C(C(C(F)(F)F)(C(F)(F)F)[*])C=C4C3=O)=O)C=C2)C5=CC([*])=CC=C5C1=O,326
O=C(N1C2=CC=C(N3C(C4=CC=C(C([*])=O)C=C4C3=O)=O)C=C2)C5=CC([*])=CC=C5C1=O,333
O=C(N1C2=CC=C(N3C(C4=CC=C([*])C=C4C3=O)=O)C=C2)C5=CC([*])=CC=C5C1=O,345
O=C(N1C2=CC=C(N3C(C4=CC=C([*])C=C4C3=O)=O)C=C2)C5=C([*])C=CC=C5C1=O,405
O=C(N1C2=CC=C(CC3=CC=C(N4C(C5=CC=CC([*])=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,311
O=C(N1C2=CC=C(CC3=CC=C(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,306
O=C(N1C2=CC=C(CC3=CC=C(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,290
